municipio,numero_escolas_trabalha,tipo_escola,niveis_escola,idade,sexo,formacao,area_ed_inf,area_ef_finais,area_ef_iniciais,area_ens_medio,area_ens_tec,contrato,tempo_escola,tempo_profissao,hrs_semanais,numero_professores,supervisiona,licenca_2semanas,licenca_ano,quantotempo,scv,saude,exaustao
Passo Fundo,1,1,2,46,2,1,0,0,1,0,0,1,6,6,20,39,1,1,1,,7,3,"0,6"
Getúlio Vargas,2,1,2,47,1,2,0,0,0,0,0,1,10,29,,38,2,1,1,,6,3,"0,6"
Erechim,1,1,1,46,2,1,1,0,0,0,0,1,5,23,40,28,1,1,1,,6,3,"0,6"
Sananduva,1,1,2,42,2,2,0,0,1,0,0,1,"0,5",19,,27,2,1,2,3,3,3,"0,6"
Estação,2,1,2,40,2,2,1,0,1,0,0,1,2,12,44,19,1,1,2,10,5,3,"0,6"
Passo Fundo,2,1,1,44,2,2,1,0,0,0,0,1,"1,3",24,30,12,1,2,2,15,2,3,"0,6"
Sananduva,1,1,1,26,2,2,1,0,0,0,0,1,2,2,20,11,1,1,2,14,6,3,"0,6"
Ibirubá,1,1,1,34,2,2,1,0,0,0,0,1,2,2,40,4,1,1,1,,7,3,"0,6"
Passo Fundo,1,3,3,30,1,2,0,0,0,0,1,1,4,10,20,120,1,1,1,,5,2,"0,6"
Erechim,1,1,2,30,2,,1,0,0,0,0,1,1,10,20,71,1,1,2,26,5,2,"0,6"
Marau,2,,,36,2,2,0,1,0,1,0,2,3,11,60,38,1,1,2,15,3,2,"0,6"
Erechim,1,1,2,37,2,1,1,0,0,0,0,1,6,15,20,137,1,1,1,,6,3,"0,75"
Erechim,1,1,2,45,2,2,0,0,1,0,0,1,2,23,50,137,1,1,1,,6,5,"0,8"
Tapera,2,2,2,40,2,2,0,0,0,1,0,1,13,20,20,45,1,1,1,,6,5,"0,8"
Marau,1,,,63,2,1,0,1,0,0,0,2,,,20,38,1,1,1,,1,5,"0,8"
Ibirubá,1,1,4,58,2,2,0,0,0,1,0,1,36,26,,37,2,1,1,,7,5,"0,8"
Tapejara,1,1,5,35,2,5,1,0,0,0,0,3,2,8,20,36,1,1,1,,7,5,"0,8"
Sananduva,1,1,2,33,2,2,0,0,1,0,0,1,"0,5",13,20,32,2,1,1,,7,5,"0,8"
Passo Fundo,1,3,2,40,2,6,0,0,1,0,0,1,5,10,20,27,1,1,1,,6,5,"0,8"
Passo Fundo,1,1,2,38,2,2,0,1,1,0,0,1,10,10,40,25,2,1,1,,7,5,"0,8"
Espumoso,1,1,2,46,2,2,0,0,1,0,0,1,17,29,20,21,1,1,1,,6,5,"0,8"
Passo Fundo,1,1,2,57,2,2,0,1,1,0,0,1,3,35,40,17,1,1,1,,7,5,"0,8"
Ibirubá,1,1,2,39,2,2,1,1,1,0,0,1,15,18,44,16,2,1,1,,6,5,"0,8"
Passo Fundo,1,1,1,34,2,2,1,0,0,0,0,1,4,7,7,14,1,1,2,60,7,5,"0,8"
Sananduva,1,1,2,48,2,2,0,1,1,0,0,1,20,27,40,12,2,1,1,,7,5,"0,8"
Tapera,1,,,50,2,2,0,1,0,1,0,1,24,24,22,5,1,1,1,,7,5,"0,8"
Tapejara,1,1,2,52,2,2,0,1,0,0,0,1,18,34,20,,1,1,1,,6,5,"0,8"
Passo Fundo,1,3,5,40,2,1,0,0,1,0,0,3,"0,5",7,22,67,1,1,1,,7,4,"0,8"
Passo Fundo,1,3,4,38,2,2,0,1,0,0,0,1,11,11,12,64,1,1,1,,6,4,"0,8"
Passo Fundo,2,3,4,34,1,1,0,1,0,1,0,1,5,10,50,64,2,1,1,,7,4,"0,8"
Tapejara,2,1,2,40,2,2,0,1,1,0,0,1,8,17,20,48,1,1,1,,5,4,"0,8"
Tapejara,1,1,5,38,2,2,1,0,1,0,0,1,4,,32,40,2,1,1,,4,4,"0,8"
